,,Net,,,Foreign Net,,,,Buy,,,,,Sell,,,,,Foreign Buy,,,,,Foreign Sell,,
Code,,Val (M),Vol,,Val(M),Vol,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG
KIJA,,25,1342,,0,0,,32,7577,151,200,,15,6235,126,202,,0,0,0,0,,0,0,0,0,
KLAS,,18,1325,,0,0,,11,1350,18,133,,1,25,0,134,,0,0,0,0,,0,0,0,0,
POLY,,3,1300,,0,0,,38,1300,3,25,,0,0,0,0,,0,0,0,0,,0,0,0,0,
POLA,,5,1250,,0,0,,2,11067,29,26,,12,9817,24,24,,0,0,0,0,,0,0,0,0,
KIOS,,7,1220,,0,0,,192,51084,449,88,,141,49864,442,89,,0,0,0,0,,0,0,0,0,
NELY,,40,1150,,0,0,,8,1150,40,350,,0,0,0,0,,0,0,0,0,,0,0,0,0,
PTMP,,11,1100,,0,0,,2,1500,15,98,,7,400,4,97,,0,0,0,0,,0,0,0,0,
MSIE,,5,1088,,0,0,,1,1088,5,44,,0,0,0,0,,0,0,0,0,,0,0,0,0,
AEGS,,6,1081,,0,0,,27,9888,46,47,,49,8807,40,46,,0,0,0,0,,0,0,0,0,
NICE,,46,1072,,0,0,,25,1175,51,433,,1,103,4,436,,0,0,0,0,,0,0,0,0,
MMLP,,54,1000,,0,0,,16,1000,54,540,,0,0,0,0,,0,0,0,0,,0,0,0,0,
ERAA,,44,997,,0,0,,1,1000,44,438,,1,3,0,442,,0,0,0,0,,0,0,0,0,
DEWI,,9,936,,0,0,,1446,20973,229,109,,34,20037,220,110,,0,0,0,0,,0,0,0,0,
HAJJ-W,,1,900,,0,0,,3,2900,5,17,,2,2000,4,18,,0,0,0,0,,0,0,0,0,
TOBA,,118,896,,0,0,,79,11617,1444,1243,,98,10721,1327,1237,,0,0,0,0,,0,0,0,0,
BIKE,,84,870,,0,0,,81,4620,460,997,,90,3750,376,1003,,0,0,0,0,,0,0,0,0,
KETR,,63,855,,0,0,,139,7073,454,642,,67,6218,391,629,,0,0,0,0,,0,0,0,0,
FUJI,,33,854,,0,0,,85,13653,555,407,,286,12799,523,408,,0,0,0,0,,0,0,0,0,
SIMP,,58,850,,0,0,,7,3760,250,664,,30,2910,192,660,,0,0,0,0,,0,0,0,0,
TRGU,,14,827,,9,-511,,26,1338,23,174,,20,511,9,174,,0,0,0,0,,20,511,9,174,
TRUE,,5,800,,0,0,,1,800,5,58,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BEEF,,29,790,,0,0,,281,31316,1017,325,,3352,30526,988,324,,0,0,0,0,,0,0,0,0,
NCKL,,79,768,,0,0,,27,1924,200,1039,,25,1156,121,1048,,0,0,0,0,,0,0,0,0,
DGWG,,31,749,,0,0,,51,1042,44,418,,8,293,12,422,,0,0,0,0,,0,0,0,0,
PZZA,,16,735,,11,500,,7,735,16,215,,0,0,0,0,,6,500,11,216,,0,0,0,0,
UANG,,56,720,,0,0,,11,720,56,775,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MITI,,18,710,,0,0,,13,1800,48,266,,11,1090,29,270,,0,0,0,0,,0,0,0,0,
AGRS,,5,700,,0,0,,4,700,5,75,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MTWI,,24,637,,0,0,,17,637,24,382,,0,0,0,0,,0,0,0,0,,0,0,0,0,
HALO-W,,1,600,,0,0,,1,600,1,15,,0,0,0,0,,0,0,0,0,,0,0,0,0,
LOPI,,3,600,,0,0,,23,1702,10,58,,14,1102,6,58,,0,0,0,0,,0,0,0,0,
MDLN,,7,600,,0,0,,56,50866,377,74,,86,50266,370,74,,0,0,0,0,,0,0,0,0,
TAYS,,5,600,,0,0,,43,6677,51,77,,39,6077,46,76,,0,0,0,0,,0,0,0,0,
