Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
NASA,36,9.090909090909092%,33,34,36,34,127,24439,87786,396177
VIVA,34,9.67741935483871%,31,34,34,34,276,364516,1239354,559785
MGNA,42,7.6923076923076925%,39,42,42,42,36,15414,64739,143241
DADA,42,7.6923076923076925%,39,42,42,42,117,92942,390356,312124
ADROYUCZ5A,76,4.10958904109589%,73,76,76,76,1,1,8,15200
HADE,33,10%,30,33,33,33,69,30195,99644,69960
HRME,39,8.333333333333332%,36,39,39,39,28,7454,29071,232391
NTBK,63,5%,60,61,76,59,29265,9282817,63798630,170104
MDIA,37,8.823529411764707%,34,37,37,37,85,45335,167740,1450975
ARKA,39,8.333333333333332%,36,38,39,38,346,129192,493869,78000
LAJU,69,4.545454545454546%,66,66,89,66,40814,14907652,120866485,148346
MDRN,33,10%,30,32,33,32,581,463470,1493480,251862
SWID,96,3.225806451612903%,93,94,99,94,467,39854,382769,516962
XMLF,879,0.3424657534246575%,876,879,879,879,1,400,35160,10988
XIHD,631,0.47770700636942676%,628,632,632,631,2,17,1074,72313
WSBP,33,10%,30,33,33,33,2036,3803841,12552675,1873756
BMTR,148,2.0689655172413794%,145,145,149,145,1825,757090,11092731,2454432
XMSK,389,0.7772020725388601%,386,389,389,389,1,26,1011,61773
ASHA,42,7.6923076923076925%,39,42,42,42,128,58264,244709,210000
TAMA,36,9.090909090909092%,33,36,36,36,102,10468,37685,43200
MDKABQCX5B,52,6.122448979591836%,49,55,59,52,5,21539,119545,4680
BBNIZPCH6A,106,2.912621359223301%,103,106,106,106,1,5,53,21200
TARA,33,10%,30,33,33,33,54,22684,74857,332298
GGRMZPCG6A,38,8.571428571428571%,35,37,38,37,3,6009,22234,7600
BBRIDRCX5A,152,2.013422818791946%,149,147,152,147,3,311,4572,15200
TFAS,136,2.2556390977443606%,133,133,147,133,312,23591,327144,226667
HEALYUCZ5A,67,4.6875%,64,67,67,67,2,3,20,13400
ISAP,36,9.090909090909092%,33,36,36,36,210,46779,168404,144724
PBRX,39,8.333333333333332%,36,36,39,36,954,1065939,4133936,837799
DPUM,68,3.0303030303030303%,66,66,78,66,5407,988096,7191683,283900
ITMGHDCJ6A,155,1.3071895424836601%,153,155,155,155,1,7,109,15500
GZCO,218,0.9259259259259258%,216,220,232,212,11817,1627183,36091557,1308000
IKAI,22,10%,20,22,22,22,84,100380,220836,292728
PCAR,42,5%,40,40,42,40,140,54834,227672,49000
LPGI,444,0.4524886877828055%,442,458,458,438,72,997,44433,1332000
BOBA,183,1.1049723756906076%,181,180,186,175,92,2756,50217,211502
CITY,105,1.9417475728155338%,103,105,109,100,1266,90607,963083,567545
TAPGZPCH6A,89,2.2988505747126435%,87,87,89,87,3,46,401,17800
NELY,352,0.5714285714285714%,350,348,354,346,152,4652,163097,827200
XBIN,577,0.34782608695652173%,575,580,580,577,2,418,24124,1169002
XBID,509,0.39447731755424065%,507,509,509,509,1,400,20360,17764
TOTO,258,0.78125%,256,258,258,254,271,9941,254184,2662560
ADMRHDCJ6A,58,3.571428571428571%,56,60,60,58,6,10,59,11600
ITIC,224,0.9009009009009009%,222,224,226,212,143,7434,162585,210721
ERAADRCJ6A,12,20%,10,12,12,11,4,749,891,6000
MANG-W,33,6.451612903225806%,31,31,38,30,347,98634,326936,7548
KIOS,84,2.4390243902439024%,82,83,93,80,8187,2028146,17879826,90372
IPCM,294,0.684931506849315%,292,294,294,290,241,20634,602601,1553734
MKTR-W,20,11.11111111111111%,18,17,21,16,388,197876,376534,49997
CFIN,316,0.6369426751592357%,314,314,318,312,251,8003,252221,1259108
ZINC,22,10%,20,22,22,22,770,305930,673046,555500
AMAR,210,0.9615384615384616%,208,208,214,197,190,9493,196262,3821430
AMMNZPCG6A,53,3.9215686274509802%,51,53,53,53,1,1,5,10600
MTLA,440,0.45662100456621%,438,438,446,438,20,334,14689,3368256
ANTMHDPH6A,70,2.941176470588235%,68,70,70,70,4,24,168,8400
SMRA,452,0.4444444444444444%,450,456,456,448,2165,194278,8752445,7461873
MPIX,72,2.857142857142857%,70,70,77,69,3603,723504,5343629,112500
DEPO,200,1.0101010101010102%,198,198,204,197,111,10960,218922,1358000
CPINZPCJ6A,40,5.263157894736842%,38,40,40,40,1,2000,8000,8000
NSSS,436,0.4608294930875576%,434,434,446,434,1918,196796,8665268,10377484
PURA,30,7.142857142857142%,28,30,30,30,179,115431,346293,189058
BBRIBQCZ5A,82,2.5%,80,83,83,81,8,100002,822017,6560
R-LQ45X,976,0.20533880903490762%,974,982,982,976,6,24,2348,139275
ZATA,26,8.333333333333332%,24,26,26,26,236,108372,281767,220896
AISA,123,1.6528925619834711%,121,121,130,121,1515,236261,2956228,1145351
GOOD,372,0.5405405405405406%,370,370,374,366,88,2447,91150,13726019
KOIN,72,2.857142857142857%,70,72,72,72,11,33,238,70621
ERAA,444,0.4524886877828055%,442,442,450,438,3085,382505,16949123,7081800
DSFI,84,2.4390243902439024%,82,82,89,81,2055,377191,3243151,155999
PEGE,115,1.7699115044247788%,113,113,118,113,298,41978,486324,325843
ADRODRCJ6A,60,3.4482758620689653%,58,62,62,60,5,1801,10876,12000
KOPI,340,0.591715976331361%,338,342,344,334,95,615,20738,237071
KOTA,30,7.142857142857142%,28,30,30,30,181,209118,627354,316386
CHEK,202,1%,200,200,204,200,650,130628,2631298,830893
SBMA,138,1.4705882352941175%,136,136,140,133,265,41383,566099,128330
MGNA-W,38,5.555555555555555%,36,38,39,38,10,307,1194,13067
INCF,42,5%,40,41,42,41,126,31413,131577,60412
HOMI,212,0.9523809523809524%,210,210,232,200,388,11839,257282,333900
PART-W,23,9.523809523809524%,21,21,24,21,278,172274,389830,15639
SOLA,148,1.36986301369863%,146,149,151,146,1868,213198,3148928,486106
PTBAYUCZ5A,93,2.197802197802198%,91,95,95,93,3,3,28,18600
ASMI,29,7.4074074074074066%,27,29,29,29,51,22718,65882,259793
HUMI-W,26,8.333333333333332%,24,25,28,24,630,525761,1352458,35188
JSMRZPCG6A,39,5.405405405405405%,37,39,39,39,1,28,109,7800
DGNS,148,1.36986301369863%,146,148,149,146,88,3356,49270,185000
TRUE,60,3.4482758620689653%,58,58,60,58,681,137354,809536,454266
PWON,372,0.5405405405405406%,370,370,374,368,2869,488008,18119582,17915372
SGER,336,0.5988023952095809%,334,336,340,330,5696,1240454,41683763,5237202
WOMF,342,0.5882352941176471%,340,340,342,338,50,444,15070,1190667
INTA,23,9.523809523809524%,21,22,23,22,196,148430,329875,76911
BATR,104,1.9607843137254901%,102,104,137,102,12170,2085721,25676271,314604
KUAS,73,2.8169014084507045%,71,73,75,71,962,131248,958437,94375
INCOBQCV5A,40,5.263157894736842%,38,50,50,35,33,17397,66581,1200
PSSI,354,0.5681818181818182%,352,360,360,352,88,2169,76878,1917640
MAYA,228,0.8849557522123894%,226,226,230,226,409,67500,1538342,5906609
POLY,26,8.333333333333332%,24,25,26,25,73,9191,23200,64890
MEDCBQCZ5A,32,3.225806451612903%,31,30,32,30,2,2,6,3520
BRMSBQCZ5A,66,1.5384615384615385%,65,67,67,65,4,564,3715,5940
BMRIBQCU5A,2,100%,1,2,2,1,26,19110,3809,80
SPRE,79,1.282051282051282%,78,85,85,78,759,115824,923704,63200
TOOL,65,1.5625%,64,65,72,64,3260,585334,4007067,133251
ACRO,85,1.1904761904761905%,84,83,92,83,3311,493780,4331816,294882
XBLQ,484,0.2070393374741201%,483,484,484,484,1,270,13068,155461
JATI,139,0.7246376811594203%,138,138,142,136,441,28815,401168,453490
ZYRX,155,0.6493506493506493%,154,158,162,154,674,32241,511382,206667
JAYA,96,1.0526315789473684%,95,96,96,94,103,4267,40443,76656
NETV,134,0.7518796992481203%,133,134,135,132,169,16890,225076,5542309
KICI,140,0.7194244604316548%,139,141,152,140,347,14154,205171,38640
VICO,184,0.546448087431694%,183,183,194,180,293,20257,378297,2799942
CANI,43,2.380952380952381%,42,43,43,43,36,5346,22988,35838
ASIIZPCJ6A,110,0.9174311926605505%,109,107,110,107,3,110,1186,22000
NASI,88,1.1494252873563218%,87,89,90,86,338,38071,335322,71051
AKRADRCX5A,36,2.857142857142857%,35,37,37,36,3,3,11,14400
AYLS,105,0.9615384615384616%,104,104,105,102,199,15975,165395,89609
BTEK,16,6.666666666666667%,15,16,16,16,476,570189,912302,740440
KREN,17,6.25%,16,17,17,17,1167,1708994,2905290,309544
ACESDRCJ6A,15,7.142857142857142%,14,14,15,14,2,9609,14413,7500
ADROBQCZ5A,18,5.88235294117647%,17,21,21,18,18,9752,19107,720
SMKL,168,0.5988023952095809%,167,167,170,166,59,1406,23631,574238
BCIP,94,1.0752688172043012%,93,94,96,92,398,50906,480627,134412
IPOL,139,0.7246376811594203%,138,144,144,137,23,251,3520,895630
KAQI,72,1.4084507042253522%,71,72,75,71,1897,325767,2356680,149458
KJEN,131,0.7692307692307693%,130,131,134,127,177,8519,110068,65500
GWSA,155,0.6493506493506493%,154,154,155,150,46,4299,66117,1209118
DART,164,0.6134969325153374%,163,162,169,162,68,457,7533,515188
ERAAZPCH6A,22,4.761904761904762%,21,22,22,22,2,501,1102,4400
SAGE,42,2.4390243902439024%,41,41,42,41,331,72432,303002,337408
MPXL,126,0.8%,125,125,128,122,741,53905,675290,252002
BUKA,175,0.5747126436781609%,174,174,175,172,2314,2035582,35433506,18049392
ACRO-W,13,8.333333333333332%,12,13,14,12,309,132851,168406,3006
GOTO,59,1.7241379310344827%,58,58,59,57,10521,16210199,94746418,67293823
GTBO,197,0.5102040816326531%,196,197,200,191,74,1517,29782,492500
HEALBQCZ5A,32,3.225806451612903%,31,31,32,31,2,50,155,3840
XMIG,217,0.4629629629629629%,216,217,217,217,1,2000,43400,4427
BRMSDRPX5A,18,5.88235294117647%,17,18,18,18,1,10,18,3600
ACESBQCV5A,2,100%,1,2,2,1,26,30278,3443,160
DOOH,143,0.7042253521126761%,142,142,154,137,13447,2551176,37686899,1106661
SOCI,193,0.5208333333333333%,192,192,196,190,529,66780,1287982,1362387
XIIF,466,0.21505376344086022%,465,466,466,466,2,20,932,28473
TRIN,94,1.0752688172043012%,93,93,95,92,218,26176,244320,427837
XILV,117,0.8620689655172413%,116,99,120,99,9,241,2845,2340
BVIC,111,0.9090909090909091%,110,111,113,108,727,121842,1344463,2023648
MEDCHDCH6A,90,1.1235955056179776%,89,90,90,90,1,5,45,14400
BABP,61,1.6666666666666667%,60,60,65,59,2868,1353648,8396207,2684874
TAMU,28,3.7037037037037033%,27,27,28,27,500,275712,763340,1050000
BMRIBQCZ5A,37,2.7777777777777777%,36,37,37,37,1,1,4,1480
BEKS,26,4%,25,26,26,25,1196,1364316,3496666,1335145
BELL,71,1.4285714285714286%,70,72,82,70,17003,3387393,25977447,514750
