Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
UNTRHDCM6A,187,1.08%,185,186,187,186,2,300,5590,11220
MBTO,183,1.10%,181,181,186,180,518,23848,435818,195810
CNKO,58,3.57%,56,56,58,56,445,285116,1602499,519469
ADROZPCK6A,58,3.57%,56,55,58,55,5,747,4182,40600
XKIV,613,0.33%,611,613,613,613,1,400,24520,9869
BBCAZPCN6A,63,3.28%,61,61,63,61,3,3,19,31500
VISI,206,0.98%,204,204,212,204,843,113462,2357712,633450
ADHI,260,0.78%,258,260,260,256,1084,106976,2752571,2185978
INDYHDCJ6A,188,1.08%,186,188,188,188,1,1,19,28200
SICO,137,1.48%,135,136,140,134,858,77009,1055647,124681
BPFI,320,0.63%,318,318,332,316,186,3853,125383,855679
SMRA,392,0.51%,390,390,396,390,1493,207989,8166292,6471359
BBRIDRCN6A,93,2.20%,91,95,95,93,6,1406,13283,9300
VAST,155,1.31%,153,153,155,150,485,31543,479657,473637
BLES,159,1.27%,157,158,166,157,958,73111,1171476,1413543
PGASHDCK6A,62,3.33%,60,62,62,62,1,1,6,9300
PDPP,390,0.52%,388,392,406,384,142,2243,87359,1193923
HELI,250,0.81%,248,248,252,244,92,2248,55743,208216
GWSA,149,1.36%,147,147,151,146,151,4551,67699,1162313
DART,186,1.09%,184,185,192,183,350,10288,193780,584299
SAFE,262,0.77%,260,262,270,256,247,9169,239038,215156
WMUU,33,6.45%,31,30,33,30,754,570588,1786906,427059
MLPL,144,1.41%,142,142,145,138,6958,1409430,19953521,2258255
BUDI,230,0.88%,228,228,230,226,181,1525,34723,1034769
SAMF,316,0.64%,314,314,316,314,52,1222,38569,3239000
JTPE,386,0.52%,384,382,386,380,170,9234,353420,2644891
AUTOHDCN6A,43,4.88%,41,43,44,43,4,1106,4756,11610
BUKA,169,1.20%,167,168,170,167,1946,753359,12717844,17432131
MDKI,202,1%,200,200,208,199,338,28932,584360,511090
XDIF,480,0.42%,478,478,570,412,13,180,8760,105408
BUMI,222,0.91%,220,222,232,218,141145,84286532,1886709352,82436457
KBLI,340,0.59%,338,338,344,336,59,899,30669,1362460
KBLM,364,0.55%,362,362,364,360,27,236,8542,407680
ARKA,32,6.67%,30,33,33,32,231,64878,213507,64000
ADROHDCN6A,75,2.74%,73,73,75,71,14,1054,7706,13500
BBRIBQCG6A,40,5.26%,38,40,40,40,3,56,224,4800
LAND,36,5.88%,34,34,36,33,103,19586,69188,100534
NPGF,62,3.33%,60,61,64,60,10508,349176,2164500,200895
LAPD,196,1.03%,194,200,200,196,601,90459,1786303,777405
KKGI,328,0.61%,326,326,328,322,608,35965,1169870,1640000
PRIM,82,2.50%,80,80,84,79,10768,313781,2568610,278262
XIFE,115,1.77%,113,108,115,108,6,1124,12712,38905
PNLF,258,0.78%,256,258,264,256,3326,1150629,29828033,8261695
SOCI,212,0.95%,210,210,214,208,448,39116,827982,1496508
ASBI,482,0.42%,480,470,484,470,16,161,7636,167922
FMII,350,0.57%,348,348,358,332,64,653,22204,2240000
INDS,228,0.88%,226,226,228,222,145,4497,101267,1496249
TALF,498,0.40%,496,496,515,490,98,927,46470,674011
ELSAZPCN6A,28,7.69%,26,26,29,26,10,2445,6971,14000
TAMA,31,6.90%,29,31,31,31,94,60757,188347,37200
XISI,357,0.56%,355,357,357,357,1,1,36,56799
BRPTHDCH6B,318,0.63%,316,326,326,314,9,32851,1053655,50880
BBCAZPCH6A,82,2.50%,80,81,82,81,5,498,4077,16400
MERI,208,0.97%,206,206,208,204,342,16092,332748,215308
INPC,154,1.32%,152,153,157,152,616,116590,1800092,3083262
PWON,362,0.56%,360,362,366,360,1924,192604,6985565,17433776
PSGO,214,0.94%,212,216,218,212,141,4442,95348,4033900
ADMRZPCH6A,87,2.35%,85,120,120,85,6,504,4488,17400
KLIN,170,1.19%,168,166,170,162,85,2097,34202,222280
PGEOHDCH6B,32,6.67%,30,29,32,29,2,2,6,5760
BNII,206,0.98%,204,206,208,204,199,30824,634663,15523631
DGWG,390,0.52%,388,388,394,384,1740,83240,3244264,2294118
GUNA,282,0.71%,280,282,292,280,1666,35003,1003182,705000
ISEA,92,2.22%,90,91,92,88,1488,170632,1538830,127881
BMRIYUCK6A,120,1.69%,118,120,120,120,1,1,12,12000
ELSADRCG6A,32,3.23%,31,31,33,31,5,1363,4497,8000
CTRAZPCG6A,17,6.25%,16,17,17,17,2,10000,17000,3400
AVIADRCV6A,73,1.39%,72,73,73,73,3,200,1460,7300
