,,Net,,,Foreign Net,,,,Buy,,,,,Sell,,,,,Foreign Buy,,,,,Foreign Sell,,
Code,,Val (M),Vol,,Val(M),Vol,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG
ISAT,,28,150,,0,0,,17,250,47,1895,,4,100,19,1890,,0,0,0,0,,0,0,0,0,
BBNI,,63,147,,0,0,,23,1650,681,4125,,52,1503,617,4108,,0,0,0,0,,0,0,0,0,
NICE,,6,140,,0,0,,5,140,6,429,,0,0,0,0,,0,0,0,0,,0,0,0,0,
PGLI,,2,104,,0,0,,10,104,2,187,,0,0,0,0,,0,0,0,0,,0,0,0,0,
IPTV,,0,101,,0,0,,2,200,1,40,,1,99,0,43,,0,0,0,0,,0,0,0,0,
AYLS,,1,100,,0,0,,1,100,1,101,,0,0,0,0,,0,0,0,0,,0,0,0,0,
DPUM,,1,100,,0,0,,1,100,1,67,,0,0,0,0,,0,0,0,0,,0,0,0,0,
GIAA,,1,100,,0,0,,5,100,1,66,,0,0,0,0,,0,0,0,0,,0,0,0,0,
GPRA,,1,100,,0,0,,16,375,5,126,,59,275,4,128,,0,0,0,0,,0,0,0,0,
GRPM-W,,0,100,,0,0,,1,100,0,14,,0,0,0,0,,0,0,0,0,,0,0,0,0,
KAQI,,1,100,,0,0,,19,3600,25,69,,17,3500,24,69,,0,0,0,0,,0,0,0,0,
KOPI,,3,100,,0,0,,2,100,3,326,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MPMX,,9,100,,0,0,,4,100,9,940,,0,0,0,0,,0,0,0,0,,0,0,0,0,
PART-W,,0,100,,0,0,,1,100,0,21,,0,0,0,0,,0,0,0,0,,0,0,0,0,
PURI,,2,100,,0,0,,1,100,2,182,,0,0,0,0,,0,0,0,0,,0,0,0,0,
TCID,,30,100,,0,0,,1,100,30,3010,,0,0,0,0,,0,0,0,0,,0,0,0,0,
TRON,,1,99,,0,0,,10,1300,12,89,,2,1201,11,89,,0,0,0,0,,0,0,0,0,
BRIS,,25,98,,0,0,,4,142,36,2515,,4,44,11,2510,,0,0,0,0,,0,0,0,0,
NOBU,,5,92,,0,0,,1,92,5,540,,0,0,0,0,,0,0,0,0,,0,0,0,0,
FAPA,,49,81,,0,0,,11,81,49,5995,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BBTN,,10,76,,0,0,,6,217,27,1243,,10,141,17,1229,,0,0,0,0,,0,0,0,0,
SMDR,,2,71,,0,0,,6,101,3,330,,1,30,1,334,,0,0,0,0,,0,0,0,0,
FORU,,8,65,,0,0,,15,172,20,1174,,14,107,13,1173,,0,0,0,0,,0,0,0,0,
VAST,,1,61,,0,0,,5,1174,22,188,,8,1113,21,186,,0,0,0,0,,0,0,0,0,
AMMN,,47,60,,0,0,,3,65,51,7875,,5,5,4,7890,,0,0,0,0,,0,0,0,0,
INRU,,5,55,,0,0,,3,55,5,835,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BVIC-W,,0,50,,0,0,,2,50,0,42,,0,0,0,0,,0,0,0,0,,0,0,0,0,
SAME,,2,50,,0,0,,1,50,2,310,,0,0,0,0,,0,0,0,0,,0,0,0,0,
URBN,,1,50,,0,0,,1,50,1,139,,0,0,0,0,,0,0,0,0,,0,0,0,0,
KMTR,,1,47,,0,0,,7,47,1,288,,0,0,0,0,,0,0,0,0,,0,0,0,0,
GOOD,,2,43,,0,0,,3,43,2,368,,0,0,0,0,,0,0,0,0,,0,0,0,0,
OBAT,,2,43,,0,0,,1,43,2,456,,0,0,0,0,,0,0,0,0,,0,0,0,0,
INKP,,19,25,,0,0,,5,25,19,7625,,0,0,0,0,,0,0,0,0,,0,0,0,0,
PTBA,,6,25,,0,0,,3,25,6,2380,,0,0,0,0,,0,0,0,0,,0,0,0,0,
ARCI,,19,18,,0,0,,150,38600,3478,901,,323,38582,3496,906,,0,0,0,0,,0,0,0,0,
BBRM,,0,15,,0,0,,2,515,5,90,,1,500,5,90,,0,0,0,0,,0,0,0,0,
DSSA,,150,14,,0,0,,16,30,320,106518,,12,16,170,106108,,0,0,0,0,,0,0,0,0,
